# STUDENT_NIF|COURSE_CODE|SEMESTER|ENROLLMENT_TYPE|ADDITIONAL_INFO

98765432B|CS101|2023A|INDIVIDUAL|
87654321C|CS101|2023A|INDIVIDUAL|
76543210D|CHEM201|2023B|MULTIPLE|98765432B,87654321C,65432109E
65432109E|MATH202|2023A|INDIVIDUAL|
54321098F|PHL101|2023B|INDIVIDUAL|
43210987G|SE202|2023A|MULTIPLE|76543210D,32109876H,54321098F
32109876H|CW301|2023B|INDIVIDUAL|
21098765I|BIO202|2023A|MULTIPLE|10987654J,43210987G,90876543K
10987654J|PHYS301|2023A|INDIVIDUAL|
90876543K|ART102|2023B|INDIVIDUAL|
80765432L|CS101|2023A|INDIVIDUAL|
70654321M|CHEM201|2023B|MULTIPLE|80765432L,60543210N
60543210N|MATH202|2023A|INDIVIDUAL|
50432109O|PHL101|2023B|INDIVIDUAL|
40321098P|SE202|2023A|MULTIPLE|60543210N,50432109O,70654321M
70654321M|CW301|2023B|INDIVIDUAL|
65432109E|BIO202|2023A|MULTIPLE|40321098P,70654321M,50432109O
